ID,Rating
1,4.72914
2,4.02593
3,3.44591
4,4.29786
5,4.39707
6,3.37824
7,4.1612
8,4.04448
9,4.04907
10,3.84289
11,3.49235
12,3.51793
13,3.09035
14,3.6626
15,3.05698
16,2.76754
17,4.26132
18,3.29383
19,3.90488
20,3.0944
21,3.91909
22,3.74969
23,3.50649
24,3.96322
25,4.61069
26,3.31437
27,2.69382
28,3.76963
29,3.21037
30,3.21716
31,3.52114
32,2.72118
33,4.92021
34,2.20318
35,2.60924
36,1.6727
37,3.60167
38,3.55114
39,3.18379
40,3.52029
41,3.37801
42,3.7816
43,3.84174
44,3.94608
45,1.79525
46,3.62795
47,3.79584
48,3.36414
49,4.11805
50,4.38362
51,4.21705
52,3.76204
53,4.80203
54,4.76628
55,4.61077
56,4.08646
57,2.51335
58,3.69233
59,3.91239
60,3.02166
61,3.91117
62,3.42436
63,3.04151
64,3.11383
65,4.03812
66,2.73205
67,3.65974
68,4.80586
69,4.81695
70,2.62235
71,4.21206
72,3.75547
73,3.48144
74,4.31974
75,4.21889
76,3.61774
77,3.58613
78,2.93038
79,4.06996
80,3.74824
81,4.88532
82,3.27736
83,3.53067
84,4.06604
85,4.13164
86,4.68801
87,4.73996
88,4.24811
89,3.92997
90,4.61791
91,4.06756
92,4.15026
93,4.12606
94,3.89598
95,4.48145
96,3.91021
97,4.41374
98,2.90935
99,3.73029
100,3.69749
101,4.46866
102,3.64512
103,3.57096
104,4.22891
105,3.88414
106,4.1334
107,4.70743
108,4.4033
109,3.8198
110,3.55394
111,4.36459
112,3.86292
113,3.75535
114,3.54699
115,3.32548
116,4.76129
117,3.75801
118,3.4845
119,4.04001
120,3.97062
121,2.0564
122,3.53644
123,3.60682
124,2.76972
125,3.11692
126,3.74302
127,3.60552
128,2.39494
129,4.19132
130,3.36418
131,4.01366
132,1.67353
133,3.61786
134,4.50891
135,3.49018
136,3.32043
137,2.50652
138,3.55896
139,3.48231
140,3.2609
141,3.34862
142,2.5715
143,3.92779
144,3.0411
145,3.07056
146,3.05111
147,1.67511
148,4.1258
149,3.82103
150,2.99705
151,3.47016
152,3.69021
153,2.98232
154,3.06884
155,2.42475
156,2.43076
157,2.31238
158,4.12597
159,4.4522
160,1.98573
161,3.77529
162,3.81403
163,3.48969
164,3.47091
165,3.69849
166,3.67993
167,3.15141
168,3.06231
169,2.9913
170,3.42527
171,2.13062
172,4.25317
173,2.83895
174,4.11429
175,3.81536
176,4.16339
177,4.11127
178,4.87015
179,4.29063
180,3.94072
181,3.62285
182,3.77808
183,4.47551
184,3.841
185,4.71307
186,3.77856
187,4.77893
188,4.42911
189,4.25573
190,2.79479
191,4.1
192,3.47431
193,4.22881
194,4.05984
195,2.93922
196,3.04096
197,2.23814
198,1.66184
199,4.55609
200,2.84546
201,4.51804
202,2.88467
203,4.57042
204,4.07278
205,3.57739
206,4.48333
207,1.72688
208,3.29871
209,3.74659
210,4.7344
211,4.67536
212,1.0
213,2.42716
214,3.33298
215,4.17755
216,4.90225
217,2.56791
218,5.0
219,3.59171
220,3.58465
221,3.80938
222,3.447
223,3.50772
224,2.11091
225,3.51975
226,4.12468
227,3.73494
228,3.33421
229,3.86559
230,4.08664
231,2.73231
232,4.57039
233,3.18368
234,3.34942
235,2.94239
236,2.73816
237,2.96812
238,3.92858
239,3.66859
240,3.93036
241,3.75486
242,3.56434
243,2.82782
244,4.13581
245,3.70889
246,3.25693
247,3.2777
248,3.64534
249,3.7919
250,4.08104
251,5.0
252,4.97018
253,3.12804
254,3.19472
255,2.53649
256,2.26261
257,3.03409
258,3.80344
259,3.4075
260,3.0244
261,4.27923
262,2.25876
263,3.80289
264,2.17495
265,3.31011
266,3.95597
267,3.2619
268,3.23282
269,3.70298
270,3.78411
271,2.19479
272,2.33735
273,2.73487
274,2.72045
275,3.01548
276,2.31848
277,2.45616
278,2.87704
279,3.24348
280,3.54435
281,4.29604
282,2.66433
283,4.01364
284,3.23784
285,3.1623
286,3.57331
287,3.0252
288,3.24967
289,3.5867
290,2.65849
291,3.36445
292,3.31615
293,2.58538
294,3.00638
295,3.19862
296,3.65776
297,3.25024
298,3.59808
299,3.11488
300,3.21477
301,3.75957
302,3.84353
303,3.05158
304,4.02614
305,3.32905
306,3.57853
307,3.10587
308,3.88603
309,3.78283
310,3.17061
311,3.97642
312,3.09862
313,3.37934
314,1.90802
315,4.35198
316,4.4467
317,4.50016
318,4.00587
319,2.91114
320,4.58441
321,5.0
322,2.88228
323,3.63882
324,3.61442
325,3.89204
326,4.45522
327,3.00974
328,4.10031
329,2.80118
330,4.77121
331,4.37324
332,4.40694
333,4.33552
334,4.27859
335,4.27503
336,2.85653
337,3.31608
338,2.10133
339,3.60619
340,3.47116
341,2.88753
342,2.82814
343,2.1844
344,2.97465
345,3.2529
346,2.68882
347,3.56149
348,3.28238
349,3.38158
350,3.04548
351,2.59854
352,3.50785
353,3.37046
354,2.95645
355,2.37697
356,3.22997
357,2.80053
358,3.04625
359,3.47074
360,3.7692
361,3.85001
362,2.91549
363,2.25228
364,3.14243
365,2.36205
366,3.4751
367,4.03216
368,2.41769
369,2.83272
370,3.08643
371,1.98692
372,3.05946
373,2.89504
374,3.41406
375,3.95973
376,3.28059
377,3.56583
378,2.49465
379,4.0494
380,5.0
381,3.21356
382,1.38006
383,4.29562
384,3.49004
385,4.18385
386,3.83857
387,2.79159
388,3.44799
389,3.42527
390,4.28321
391,4.27735
392,4.07235
393,4.27797
394,4.06905
395,3.43518
396,3.76551
397,2.89857
398,3.64951
399,3.60985
400,3.50238
401,3.55833
402,3.55183
403,3.77701
404,4.57938
405,3.90485
406,2.50098
407,2.82912
408,3.65091
409,3.09256
410,3.67386
411,4.20539
412,4.06082
413,3.34492
414,4.03676
415,3.58343
416,4.15318
417,3.52305
418,3.89442
419,3.35026
420,3.31901
421,4.35561
422,4.01402
423,4.248
424,3.06002
425,3.31381
426,3.43769
427,3.39693
428,4.2499
429,3.92899
430,2.72788
431,4.10211
432,4.09937
433,4.02933
434,3.26868
435,3.26605
436,3.6003
437,3.69072
438,3.65684
439,3.58758
440,3.91933
441,3.5383
442,3.27258
443,4.1052
444,3.42061
445,4.31113
446,3.53263
447,3.86473
448,2.77129
449,3.58546
450,3.12816
451,3.52041
452,3.88543
453,4.05363
454,3.4186
455,4.72104
456,3.50716
457,3.17544
458,3.44781
459,4.14308
460,2.91564
461,3.50046
462,3.87084
463,3.6892
464,4.03635
465,3.47318
466,3.18427
467,4.03998
468,3.91392
469,4.24357
470,4.65987
471,3.48434
472,3.77838
473,4.05852
474,4.78209
475,3.51924
476,3.14951
477,3.38726
478,4.3235
479,2.20316
480,4.1732
481,3.28291
482,3.56326
483,1.93433
484,3.9581
485,3.90601
486,3.26628
487,4.12135
488,4.17438
489,4.13516
490,3.87918
491,3.8908
492,3.58431
493,1.97524
494,3.37891
495,3.56611
496,2.50505
497,4.51444
498,4.61396
499,3.69659
500,2.61283
501,3.45292
502,3.55414
503,4.03022
504,4.25647
505,4.22812
506,3.64634
507,4.91971
508,4.49686
509,4.45263
510,4.07772
511,3.80677
512,3.57196
513,4.45654
514,4.41761
515,4.41162
516,2.90197
517,3.62002
518,4.25547
519,4.27897
520,4.39149
521,4.6011
522,3.9459
523,3.72389
524,4.55628
525,3.98293
526,4.7164
527,4.43237
528,4.55685
529,4.04007
530,4.1158
531,4.86375
532,4.99863
533,4.97251
534,4.03404
535,4.26775
536,3.80151
537,2.82006
538,4.98956
539,2.2982
540,3.29788
541,3.5985
542,4.98214
543,3.87855
544,3.48799
545,3.14969
546,3.8089
547,4.5634
548,3.1402
549,4.04222
550,3.83679
551,3.03574
552,4.29504
553,4.96453
554,2.53346
555,4.20986
556,2.957
557,4.12546
558,2.61488
559,4.0852
560,2.96242
561,4.07084
562,1.51497
563,4.79373
564,3.22375
565,4.97877
566,3.46236
567,3.1215
568,3.6409
569,3.52072
570,3.83685
571,3.30146
572,3.67363
573,3.93672
574,3.68399
575,4.18033
576,3.04901
577,3.4996
578,4.76129
579,4.46912
580,3.91744
581,4.15141
582,4.085
583,3.79513
584,3.55932
585,2.81608
586,1.84521
587,3.55066
588,3.77113
589,3.71154
590,3.60142
591,4.47908
592,3.94172
593,4.11629
594,3.93001
595,4.70168
596,3.7884
597,4.00192
598,2.51163
599,3.79844
600,4.584
601,4.02142
602,4.15192
603,4.29208
604,3.25033
605,4.14961
606,3.87167
607,2.06445
608,4.80514
609,3.88993
610,4.57611
611,3.25458
612,2.89531
613,2.74423
614,3.90859
